"","ID","POA_CODE","UHexceedence_iid","UHexceedence_BYM","RRF_iid","RRF_BYM"
"65",65,"2087",0.578498508110131,0.561895935294519,0.0936798512949016,0.0930683143461961
"66",66,"2088",0.665082578243374,0.714846441006326,0.09499743164447,0.0989508571000728
"67",67,"2089",0.784344174885982,0.848059419195917,0.103501493789853,0.111466177628811
"68",68,"2090",0.609316761321199,0.757699128773283,0.0940609534509207,0.100844036799451
"69",69,"2092",0.46039570682583,0.40100621188463,0.0885627587465414,0.086495172914599
"70",70,"2093",0.257350028814539,0.323019810498379,0.0814056737810041,0.0816314951639707
"71",71,"2094",0.725645946877771,0.635522215521958,0.100725030325821,0.100311524061349
"72",72,"2095",0.820458208437351,0.553194462728555,0.103040283397646,0.0984258733712551
"73",73,"2096",0.0673017859867568,0.176911355083454,0.0698635660129343,0.0717151137857081
"74",74,"2097",0.265493500220059,0.330635728217492,0.0806566575398188,0.0806689962534164
